category	wikidata_id	instances	first_edit	days	size	images	notes	issues	references	issue_clarify	discussion_size	incipit_size	totali	avg_pv	avg_pv_prev	VdQ	vetrina	Galleria_Commons	Pagina_su_Commons	article	article_wikipedia	website	unique_editors	latitude	longitude	visitors	public_private	staff	type	communication_expert	public_digital_archive	nonpublic_digital_archive	region
museo	Q104886231	museo,,,,,,,,	18-01-2021	1291.0	2528.0	0.0	5.0	0.0	0.0	0.0	0.0	95.0	5917	2	8	0	0	Dallara Academy		Dallara Academy	Dallara Academy	https://www.dallara.it/it/dallara_academy	13	44.6871883	10.0120834								Emilia-Romagna
museo	Q1049033	museo d'arte,museo d'arte moderna,museo di un ente privato,,,,,,	17-07-2007	6225.0	7771.0	4.0	9.0	0.0	0.0	0.0	8800.0	290.0	250971	76	57	0	0	Museo Guggenheim (Venice)		Peggy Guggenheim Collection	Peggy Guggenheim Collection	https://www.guggenheim-venice.it/	104	45.43083	12.33154	381374 (2022)	Privato (2022)	45 (2021)	Arte moderna e contemporanea (dal ‘900 ai giorni nostri) (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si interamente (2022)	Veneto
museo	Q105044222	museo dell'automobile,,,,,,,,	06-01-2021	1303.0	2409.0	2.0	5.0	0.0	0.0	0.0	0.0	529.0	4094	1	4	0	0	Museo delle auto della Polizia di Stato		Museo delle auto della Polizia di Stato	Museo delle auto della Polizia di Stato	Nessun sito web	9	Nessuna coordinata geografica	Nessuna coordinata geografica								Lazio
museo	Q105044223	museo,,,,,,,,	16-01-2021	1293.0	20213.0	2.0	21.0	1.0	0.0	0.0	0.0	725.0	643	0	0	0	0			MoRE. a Museum of refused and unrealised art projects	MoRE. a Museum of refused and unrealised art projects	http://www.moremuseum.org	12	Nessuna coordinata geografica	Nessuna coordinata geografica								
museo	Q1051673	valle,sito archeologico,parco archeologico,museo,,,,,	23-06-2006	6614.0	41663.0	45.0	12.0	0.0	2.0	0.0	3095.0	1064.0	64127	20	16	0	0	Cava d'Ispica		Cava d'Ispica	Cava d'Ispica	Nessun sito web	78	36.852339	14.83756	5018 (2021)	Pubblico (2021)	5 (2021)	Area archeologica; (2021)	Si, impiegati esclusivamente nel museo/istituto (2021)	No, non ancora (2021)	No, non ancora (2021)	Sicilia
museo	Q1051820	certosa,museo religioso,museo nazionale italiano,manufatto di archeologia industriale museo,museo del Ministero della Cultura italiano,,,,	13-09-2006	6532.0	39851.0	28.0	10.0	1.0	0.0	0.0	1955.0	1198.0	479570	146	147	0	0	Certosa di San Lorenzo (Padula)		certosa di Padula	Certosa di Padula	https://www.beniculturali.it/luogo/certosa-di-san-lorenzo	181	40.33722222	15.65194444	63322 (2022)	Pubblico (2022)	22 (2021)	Chiesa, edificio o complesso monumentale a carattere religioso (2022)		No, non ancora (2022)	No, non ancora (2022)	Campania
museo	Q1052171	palazzo,museo d'arte,magione,,,,,,	28-05-2004	7370.0	8380.0	13.0	4.0	0.0	0.0	0.0	1866.0	251.0	98390	30	35	0	0	Ca' Rezzonico (Venice)		Ca' Rezzonico	Ca' Rezzonico	http://carezzonico.visitmuve.it/en/home/	68	45.433425	12.326816666667								Veneto
museo	Q105336946	museo archeologico,museo virtuale,museo specializzato,casa museo,museo di un ente pubblico,,,,	07-07-2020	1486.0	12579.0	10.0	5.0	0.0	0.0	0.0	59.0	1165.0	569	0	1	0	0	Museo Archeologico Virtuale di Narce - MAVNA		Museo Archeologico Virtuale di Narce	Museo archeologico virtuale di Narce	http://www.mavna.it/	18	42.20484947368503	12.39946561339151	250 (2022)	Pubblico (2022)	1 (2021)	Archeologia (2022)	NO (2021)	No, non ancora (2022)	No, non disponeva di beni da digitalizzare (2022)	Lazio
museo	Q1054090	collezione d'arte,museo archeologico,museo dell'industria,casa museo,museo di un ente pubblico,,,,	10-06-2007	6262.0	13125.0	19.0	4.0	0.0	0.0	0.0	3432.0	709.0	156974	48	53	0	0	Centrale Montemartini (Rome)		Centrale Montemartini	Centrale Montemartini	http://www.centralemontemartini.org	73	41.86703	12.478991	75020 (2022)	Pubblico (2022)	7 (2021)	Archeologia (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	Si interamente (2022)	Si interamente (2022)	Lazio
museo	Q1054434	palazzo italiano,palazzo museo,museo di un ente pubblico,,,,,,	13-05-2005	7020.0	22699.0	28.0	12.0	0.0	0.0	0.0	1006.0	180.0	126456	38	28	0	0	Palazzo Ducale (Colorno)		Palazzo Ducale	Palazzo Ducale (Colorno)	http://reggiadicolorno.it/	97	44.930142	10.375976	22000 (2022)	Pubblico (2022)		Villa o palazzo di interesse storico o artistico; (2022)		No, non ancora (2022)	No, non ancora (2022)	Emilia-Romagna
